Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
22,France,Master (or equivalent),minimal anxiety,2,League of Legends,Male,15.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,France,None,17.0,Slightly satisfied,24,Student at college / university,Fun,fun
18,USA,None,moderate anxiety,10,League of Legends,Male,15.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,USA,Mild,24.0,Slightly satisfied,24,Student at school,Fun,relaxing
23,Portugal,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,4.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Portugal,None,17.0,dissatisfied,14,Student at college / university,Fun,improving
18,Canada,None,minimal anxiety,2,League of Legends,Male,35.0,platinum,4.0,Mostly True of me,PC,Multiplayer - online - with strangers,Canada,None,15.0,Slightly satisfied,23,Student at school,Fun,improving
28,Sweden,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Male,10.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Sweden,None,9.0,Satisfied,29,Employed,Fun,improving
26,USA,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Female,10.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,None,20.0,Slightly satisfied,23,Employed,Fun,improving
21,Bosnia and Herzegovina,High school diploma (or equivalent),mild anxiety,8,League of Legends,Male,35.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Bosnia and Herzegovina,None,1.0,dissatisfied,10,Unemployed / between jobs,Fun,fun
21,Italy,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,6.0,platinum,5.0,Very True of me,PC,Multiplayer - online - with real life friends,Italy,None,7.0,Satisfied,27,Unemployed / between jobs,Earning while playing,fun
23,USA,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,6.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,8.0,Satisfied,30,Employed,Fun,fun
19,Slovenia,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,35.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Slovenia,None,0.0,Satisfied,30,Student at college / university,Fun,improving
22,USA,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,28.0,platinum,4.0,Mostly True of me,PC,Multiplayer - online - with strangers,USA,None,12.0,Extremely dissatisfied,8,Student at college / university,Fun,fun
19,Australia,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Female,15.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Australia,Moderate,39.0,dissatisfied,11,Student at college / university,Fun,fun
25,Sweden,Master (or equivalent),minimal anxiety,1,League of Legends,Male,35.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Sweden,None,19.0,Slightly dissatisfied,18,Employed,Fun,improving
29,Sweden,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,40.0,master,4.0,Mostly True of me,PC,Multiplayer - online - with strangers,Sweden,None,2.0,dissatisfied,10,Unemployed / between jobs,Earning while playing,winning
19,Greece,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,25.0,silver,4.0,Mostly True of me,PC,Multiplayer - online - with strangers,Greece,Severe,48.0,dissatisfied,12,Student at college / university,Fun,fun
25,Argentina,Bachelor (or equivalent),mild anxiety,5,League of Legends,Male,30.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Argentina,None,11.0,Extremely dissatisfied,7,Student at college / university,Fun,fun
21,Jordan,Bachelor (or equivalent),minimal anxiety,2,League of Legends,Male,16.0,diamond,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Jordan,None,11.0,dissatisfied,14,Student at college / university,Fun,winning
21,Brazil,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,21.0,platinum,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Brazil,Moderate,39.0,Extremely dissatisfied,9,Unemployed / between jobs,Fun,improving
19,Venezuela,High school diploma (or equivalent),moderate anxiety,13,League of Legends,Male,40.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Venezuela,Very Severe,52.0,dissatisfied,12,Student at college / university,Fun,improving
